MASS ABSORBTION COEFFICIENTS

Comments:

Each elements data starts with a line including the word "BEGIN" folllowed
by (in order):
	Element's name
	Chemical symbol
	Z - atomic number
	A - Atomic weight
	Density (in gr/cm^3)

Following the opening line the data is written as pairs of numbers.  The first 
entry of the pair is photon energy (in keV) and the second is mass absorbtion 
coefficient (in cm^2/gr).  The elements data ends with the word "END".  Blank 
lines and comments are allowed.

begin	Vacuum		_V	 0	0.	1e-38

	 10.000		   37.6
	 11.104		   28.3

	 11.104		  195
	 15.000		   90.5
	 20.000		   42.0
	 30.000		   13.6
	 50.000		    3.23
	100.000		    0.536

end

Begin	Krypton		Kr	36	83.8	0.003733

	  1.000		 2850
	  1.500		 1145
	  1.675		  894

	  1.675		 3710
	  1.726		 3450

	  1.726		 4850
	  1.920		 3710

	  1.920		 4300
	  2.000		 3880
	  3.000		 1362
	  5.000		  352
	 10.000		   53.3
	 14.322		   19.7

	 14.322		  131
	 15.000		  117
	 20.000		   55.9
	 30.000		   18.7
	 50.000		    4.50
	100.000		    0.708

end

Begin	Molybdenum	Mo	42	95.94	10.22

	  1.000		 5363
	  1.500		 1966
	  2.000		  965
	  2.520		  545

	  2.520		 1990
	  2.625		 1799

	  2.625		 2530
	  2.866		 2030

	  2.866		 2359
	  3.000		 2100
	  5.000		  564
	 10.000		   87.2
	 15.000		   28.2
	 19.999		   12.6

	 19.999		   81.1
	 30.000		   28.4
	 50.000		    7.14
	100.000		    1.12

end

Begin	Rhodium		Rh	45	102.9	12.41

	  1.000		 7100
	  1.500		 2525
	  2.000		 1200
	  3.003		  417

	  3.003		 1530
	  3.146		 1360

	  3.146		 1920
	  3.412		 1570

	  3.412		 1820
	  4.000		 1221
	  5.000		  682
	 10.000		  107
	 15.000		   35.2
	 20.000		   15.8
	 23.220		   10.4

	 23.220		   62.2
	 30.000		   32.8
	 50.000		    8.45
	100.000		    1.29

end

Begin	Silver		Ag	47	107.9	10.50

	  1.000		 7927
	  1.500		 2916
	  2.000		 1434
	  3.000		  527
	  3.351		  401

	  3.351		 1280
	  3.524		 1130

	  3.524		 1590
	  3.806		 1310

	  3.806		 1520
	  5.000		  758
	 10.000		  121
	 15.000		   40.1
	 20.000		   18.1
	 25.514		    9.2

	 25.514		   55.2
	 30.000		   36.6
	 50.000		    9.44
	100.000		    1.46

end

Begin	Tantalum	Ta	73	180.95	16.65

	  1.000		 4580
	  1.500		 1686
	  1.735		 1180

	  1.735		 4050
	  1.793		 3710

	  1.793		 5270
	  2.000		 3946
	  2.194		 3090

	  2.194		 4100
	  2.469		 3000

	  2.469		 3360
	  2.703		 2645

	  2.703		 2850
	  3.000		 2170
	  5.000		  568
	  9.881		   94.8

	  9.881		  239
	 10.000		  231.8
	 11.136		  176

	 11.136		  247
	 11.680		  218.4

	 11.680		  253
	 15.000		  133
	 20.000		   63
	 30.000		   21.8
	 50.000		    5.73
	 60.000		    3.58
	 67.414		    2.66

	 67.414		   11.5
